City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
pevek,18.0,ru,1574641638,86.0,69.7,170.27,-12.23,3.51
luderitz,0.0,na,1574641639,73.0,-26.65,15.16,61.93,29.24
longyearbyen,75.0,sj,1574641639,78.0,78.22,15.64,14.0,2.24
ayagoz,100.0,kz,1574641639,83.0,47.96,80.43,16.25,2.64
ribeira grande,99.0,pt,1574641639,92.0,38.52,-28.7,66.2,28.1
albany,90.0,au,1574641639,67.0,-35.02,117.88,57.2,6.93
butaritari,90.0,ki,1574641639,74.0,3.07,172.79,83.7,7.4
berlevag,97.0,no,1574641639,76.0,70.86,29.09,38.32,19.42
saldanha,56.0,za,1574641640,82.0,-33.01,17.94,55.4,1.12
chuy,0.0,uy,1574641640,69.0,-33.69,-53.46,60.84,13.24
tuktoyaktuk,90.0,ca,1574641640,85.0,69.44,-133.03,10.4,13.87
mitsamiouli,20.0,km,1574641640,78.0,-11.38,43.28,80.6,8.05
liuzhou,60.0,cn,1574641640,65.0,24.32,109.41,62.04,15.75
yangjiang,0.0,cn,1574641641,62.0,21.85,111.96,69.08,4.29
east london,68.0,za,1574641503,70.0,-33.02,27.91,65.93,6.93
lompoc,1.0,us,1574641563,30.0,34.64,-120.46,67.89,10.29
port alfred,49.0,za,1574641641,86.0,-33.59,26.89,61.0,4.0
busselton,0.0,au,1574641641,58.0,-33.64,115.35,63.39,3.0
villaba,99.0,ph,1574641642,76.0,11.21,124.39,81.32,2.28
hickory,1.0,us,1574641642,93.0,35.73,-81.34,41.31,3.36
rikitea,100.0,pf,1574641642,72.0,-23.12,-134.97,72.28,12.88
roma,2.0,au,1574641642,46.0,-26.57,148.79,81.18,19.42
tateyama,75.0,jp,1574641642,93.0,36.66,137.31,56.1,14.99
ushuaia,20.0,ar,1574641377,87.0,-54.81,-68.31,46.4,12.75
fuerte olimpo,48.0,py,1574641642,49.0,-21.04,-57.87,86.05,4.68
puerto ayora,75.0,ec,1574641643,61.0,-0.74,-90.35,74.32,13.87
mar del plata,30.0,ar,1574641643,65.0,-46.43,-67.52,58.75,6.35
brownsville,1.0,us,1574641643,64.0,25.91,-97.49,68.7,6.93
vaini,75.0,to,1574641643,69.0,-21.2,-175.2,80.6,12.75
chokurdakh,0.0,ru,1574641643,92.0,70.62,147.9,-32.96,8.08
norman wells,75.0,ca,1574641643,92.0,65.28,-126.83,12.2,2.24
esperance,90.0,au,1574641644,62.0,-33.86,121.89,59.0,12.75
avarua,100.0,ck,1574641644,94.0,-21.21,-159.78,73.4,3.36
tskaltubo,68.0,ge,1574641644,45.0,42.33,42.6,44.6,25.28
tondano,20.0,id,1574641644,66.0,1.3,124.91,86.0,2.24
hermanus,13.0,za,1574641644,95.0,-34.42,19.24,57.67,13.62
tiksi,89.0,ru,1574641644,90.0,71.64,128.87,-26.09,5.82
kodiak,1.0,us,1574641644,53.0,39.95,-94.76,49.05,4.7
jamestown,71.0,sh,1574641645,74.0,-15.94,-5.72,68.94,14.23
rawson,49.0,ar,1574641645,87.0,-43.3,-65.11,58.3,25.57
belyy yar,40.0,ru,1574641645,78.0,53.6,91.39,17.6,11.77
westport,100.0,ie,1574641645,94.0,53.8,-9.52,46.33,3.0
bambous virieux,20.0,mu,1574641713,100.0,-20.34,57.76,73.0,4.7
atuona,0.0,pf,1574641713,73.0,-9.8,-139.03,79.56,17.78
algeciras,8.0,ph,1574641713,79.0,11.42,120.82,82.15,22.28
grindavik,4.0,is,1574641713,100.0,63.84,-22.43,33.71,8.05
pangnirtung,100.0,ca,1574641713,90.0,66.15,-65.72,30.18,18.79
berbera,89.0,so,1574641713,82.0,10.44,45.01,79.5,14.23
cape town,33.0,za,1574641714,87.0,-33.93,18.42,57.87,2.24
toledo,66.0,br,1574641714,69.0,-24.72,-53.74,73.4,18.34
fort nelson,75.0,ca,1574641714,73.0,58.81,-122.69,26.6,3.36
santa cruz del sur,53.0,cu,1574641714,65.0,20.71,-78.0,80.17,6.67
husavik,90.0,is,1574641714,92.0,66.04,-17.34,30.2,3.36
fushun,0.0,cn,1574641648,57.0,41.89,123.95,17.6,2.24
upernavik,100.0,gl,1574641714,93.0,72.79,-56.15,33.24,13.8
isoka,99.0,zm,1574641715,84.0,-10.15,32.64,67.3,4.12
amarante do maranhao,81.0,br,1574641715,84.0,-5.57,-46.74,77.25,1.57
barrow,1.0,us,1574641715,61.0,39.51,-90.4,47.59,8.05
hobart,100.0,au,1574641604,28.0,-42.88,147.33,70.97,16.11
sisimiut,100.0,gl,1574641715,69.0,66.94,-53.67,27.66,10.04
henties bay,0.0,na,1574641715,89.0,-22.12,14.28,59.0,1.01
saint george,90.0,bm,1574641715,69.0,32.38,-64.68,73.74,32.21
hay river,75.0,ca,1574641716,92.0,60.82,-115.79,15.8,8.05
pisco,77.0,pe,1574641716,82.0,-13.71,-76.2,67.39,20.8
paradise,1.0,us,1574641716,36.0,39.76,-121.62,61.79,3.36
naze,40.0,jp,1574641716,83.0,28.37,129.48,75.2,14.99
fomboni,95.0,km,1574641716,78.0,-12.28,43.74,82.06,7.4
kautokeino,81.0,no,1574641716,97.0,69.01,23.04,23.49,8.84
sioux lookout,90.0,ca,1574641647,89.0,50.1,-91.92,34.68,2.24
katsuura,75.0,jp,1574641717,88.0,33.93,134.5,62.74,11.41
new norfolk,84.0,au,1574641717,28.0,-42.78,147.06,70.97,16.11
talnakh,75.0,ru,1574641717,84.0,69.49,88.39,-2.2,24.61
santa fe,75.0,pa,1574641717,95.0,8.66,-78.16,74.84,3.09
khatanga,100.0,ru,1574641717,96.0,71.98,102.47,-3.42,17.0
udachnyy,99.0,ru,1574641717,66.0,66.42,112.4,-32.8,4.47
nanyamba,20.0,tz,1574641718,94.0,-10.68,39.83,77.0,0.94
sao raimundo das mangabeiras,89.0,br,1574641718,64.0,-7.02,-45.48,82.42,5.44
thompson,90.0,ca,1574641718,92.0,55.74,-97.86,23.0,4.7
hasaki,75.0,jp,1574641718,100.0,35.73,140.83,61.92,2.24
axim,4.0,gh,1574641718,90.0,4.87,-2.24,76.55,2.57
carnarvon,40.0,au,1574641718,78.0,-24.87,113.63,73.4,18.34
waingapu,73.0,id,1574641719,75.0,-9.65,120.26,81.95,2.06
port elizabeth,36.0,za,1574641686,72.0,-33.92,25.57,59.0,6.93
vardo,40.0,no,1574641623,86.0,70.37,31.11,30.2,9.17
nelson bay,75.0,au,1574641719,54.0,-32.72,152.14,78.37,8.05
providencia,40.0,mx,1574641720,44.0,27.5,-109.99,75.18,6.93
broken hill,0.0,au,1574641787,10.0,-31.97,141.45,87.8,12.75
hithadhoo,79.0,mv,1574641788,81.0,-0.6,73.08,82.69,16.13
kapaa,75.0,us,1574641788,69.0,22.08,-159.32,81.9,14.99
touros,20.0,br,1574641788,83.0,-5.2,-35.46,78.8,9.17
bonavista,0.0,ca,1574641788,89.0,48.65,-53.11,35.01,14.0
coxim,100.0,br,1574641788,78.0,-18.5,-54.75,77.92,8.1
bud,100.0,no,1574641788,59.0,62.91,6.91,40.66,5.82
ulkan,100.0,ru,1574641788,94.0,57.24,107.32,0.7,5.7
marsa matruh,85.0,eg,1574641684,67.0,31.35,27.25,60.8,12.75
alanya,40.0,tr,1574641789,81.0,36.55,32.0,51.8,6.93
bluff,74.0,nz,1574641789,39.0,-46.6,168.33,60.84,7.63
kushima,75.0,jp,1574641789,88.0,31.5,131.29,64.81,4.7
nome,1.0,us,1574641789,67.0,30.04,-94.42,54.41,5.82
nikolskoye,20.0,ru,1574641789,78.0,59.7,30.79,15.35,4.47
aripuana,98.0,br,1574641646,94.0,-9.17,-60.63,74.84,1.63
rudbar,0.0,af,1574641789,48.0,30.15,62.6,45.37,6.85
ust-uda,100.0,ru,1574641790,90.0,54.17,103.03,11.21,5.41
deputatskiy,100.0,ru,1574641790,92.0,69.3,139.9,-32.01,5.19
sao filipe,18.0,cv,1574641791,81.0,14.9,-24.5,73.24,12.59
ruwi,20.0,om,1574641791,77.0,23.6,58.55,69.8,2.24
qaanaaq,100.0,gl,1574641791,73.0,77.48,-69.36,20.01,19.44
hilo,90.0,us,1574641791,74.0,19.71,-155.08,74.52,11.41
dicabisagan,19.0,ph,1574641791,84.0,17.08,122.42,78.39,12.33
saskylakh,65.0,ru,1574641792,95.0,71.97,114.09,-26.12,7.31
ushtobe,100.0,kz,1574641792,84.0,45.25,77.98,27.59,0.94
nuuk,51.0,gl,1574641792,68.0,64.17,-51.74,30.09,1.12
provideniya,75.0,ru,1574641792,72.0,64.42,-173.23,12.2,4.47
coquimbo,20.0,cl,1574641792,77.0,-29.95,-71.34,62.6,10.29
lalsot,20.0,in,1574641792,68.0,26.56,76.33,64.4,6.08
bredasdorp,0.0,za,1574641793,77.0,-34.53,20.04,57.11,5.82
makaha,75.0,us,1574641793,65.0,21.47,-158.22,82.76,11.41
santana,22.0,br,1574641793,89.0,-0.06,-51.18,84.2,9.17
saint-augustin,20.0,ca,1574641793,79.0,45.63,-73.98,32.83,4.41
saint-pierre,75.0,pm,1574641793,78.0,46.77,-56.17,37.17,3.36
yellowknife,90.0,ca,1574641793,92.0,62.45,-114.38,14.77,9.17
kamenka,100.0,ru,1574641794,25.0,53.19,44.05,24.3,4.09
koster,0.0,za,1574641794,25.0,-25.86,26.9,64.04,1.39
san roque,40.0,co,1574641794,88.0,6.49,-75.02,63.14,2.24
lorengau,91.0,pg,1574641794,70.0,-2.02,147.27,83.91,13.02
kharp,99.0,ru,1574641794,95.0,66.82,65.8,12.31,4.47
okitipupa,93.0,ng,1574641861,98.0,6.5,4.78,75.74,2.48
popondetta,19.0,pg,1574641861,57.0,-8.77,148.24,76.91,4.83
monetnyy,75.0,ru,1574641861,79.0,57.05,60.88,23.0,13.42
kyra,17.0,ru,1574641861,74.0,49.58,111.97,-9.15,3.0
sao jose da coroa grande,0.0,br,1574641862,81.0,-8.9,-35.15,79.63,16.89
beloha,42.0,mg,1574641862,80.0,-25.17,45.06,69.19,7.83
honiara,75.0,sb,1574641862,66.0,-9.43,159.96,86.0,6.93
hit,100.0,iq,1574641862,31.0,33.64,42.83,57.15,4.63
samarai,95.0,pg,1574641862,65.0,-10.62,150.67,81.14,8.23
sitka,0.0,us,1574641862,36.0,37.17,-99.65,52.0,8.86
port lincoln,100.0,au,1574641863,41.0,-34.72,135.86,73.78,2.33
hualmay,94.0,pe,1574641863,85.0,-11.1,-77.61,63.61,5.59
sao joao da barra,100.0,br,1574641863,70.0,-21.64,-41.05,70.09,15.88
namatanai,52.0,pg,1574641863,65.0,-3.66,152.44,85.15,10.47
meulaboh,96.0,id,1574641863,76.0,4.14,96.13,80.01,6.51
coos bay,1.0,us,1574641863,93.0,43.37,-124.22,48.81,8.05
tasiilaq,22.0,gl,1574641863,49.0,65.61,-37.64,26.6,1.12
hays,1.0,us,1574641864,32.0,38.88,-99.33,50.22,6.93
mahebourg,20.0,mu,1574641864,100.0,-20.41,57.7,73.02,4.7
mount gambier,90.0,au,1574641772,82.0,-37.83,140.78,55.4,12.75
charters towers,21.0,au,1574641864,45.0,-20.07,146.27,86.04,10.38
castro,75.0,cl,1574641864,93.0,-42.48,-73.76,48.2,8.05
tocopilla,3.0,cl,1574641864,64.0,-22.09,-70.2,54.0,1.95
tezu,94.0,in,1574641864,58.0,27.93,96.16,61.68,2.89
toora-khem,100.0,ru,1574641865,93.0,52.47,96.11,1.99,1.05
teahupoo,40.0,pf,1574641865,66.0,-17.83,-149.27,87.35,16.11
lichuan,100.0,cn,1574641865,96.0,30.3,108.94,39.58,2.77
guerrero negro,100.0,mx,1574641785,46.0,27.97,-114.04,71.02,7.67
cherskiy,100.0,ru,1574641865,98.0,68.75,161.3,-16.15,3.04
taybad,77.0,ir,1574641866,81.0,34.74,60.78,26.51,17.4
nishihara,75.0,jp,1574641866,100.0,35.74,139.53,62.13,3.04
fortuna,96.0,br,1574641866,71.0,-5.73,-44.15,80.6,2.55
gladstone,40.0,au,1574641866,51.0,-23.84,151.26,81.93,9.17
ghanzi,40.0,bw,1574641866,50.0,-21.7,21.65,77.25,10.49
dunedin,0.0,nz,1574641807,61.0,-45.87,170.5,57.0,15.99
cabras,37.0,it,1574641867,92.0,39.93,8.53,50.0,10.0
yar-sale,100.0,ru,1574641867,93.0,66.83,70.83,10.45,18.03
leningradskiy,7.0,ru,1574641867,88.0,69.38,178.42,-7.78,4.79
srednekolymsk,100.0,ru,1574641867,97.0,67.46,153.71,-18.92,8.59
vestmannaeyjar,27.0,is,1574641867,73.0,63.44,-20.27,41.67,3.42
namibe,5.0,ao,1574641867,75.0,-15.19,12.15,71.62,5.7
burnie,79.0,au,1574641867,77.0,-41.05,145.91,60.53,8.99
point pleasant,1.0,us,1574641868,60.0,40.08,-74.07,41.97,11.41
gainesville,40.0,us,1574641626,87.0,29.65,-82.33,51.98,3.36
aklavik,90.0,ca,1574641868,84.0,68.22,-135.01,6.8,2.24
margate,48.0,za,1574641868,76.0,-30.86,30.37,70.38,5.39
punta arenas,7.0,cl,1574641935,30.0,-53.16,-70.91,55.4,10.29
teya,3.0,ru,1574641935,96.0,60.37,92.63,-18.17,1.34
talara,43.0,pe,1574641718,100.0,-4.58,-81.27,62.6,16.11
upata,82.0,ve,1574641935,89.0,8.02,-62.41,73.6,4.07
great yarmouth,70.0,gb,1574641936,87.0,52.61,1.73,48.27,6.93
dikson,100.0,ru,1574641936,89.0,73.51,80.55,-5.24,9.51
amga,97.0,ru,1574641936,99.0,60.89,131.98,-27.24,1.88
coihaique,75.0,cl,1574641936,76.0,-45.58,-72.07,53.6,4.7
clyde river,40.0,ca,1574641936,73.0,70.47,-68.59,23.0,6.93
hohenau,0.0,py,1574641936,61.0,-27.07,-55.64,82.4,4.7
homer,75.0,us,1574641937,55.0,59.64,-151.54,29.21,18.34
saint-philippe,5.0,re,1574641937,94.0,-21.36,55.77,70.18,9.17
montepuez,100.0,mz,1574641937,86.0,-13.13,39.0,74.52,6.44
alice springs,36.0,au,1574641937,6.0,-23.7,133.88,95.0,12.75
cidreira,33.0,br,1574641937,65.0,-30.17,-50.22,67.03,19.22
lagoa,75.0,pt,1574641937,87.0,37.14,-8.45,59.25,3.36
coolum beach,96.0,au,1574641937,61.0,-26.53,153.09,79.02,4.03
kedrovyy,40.0,ru,1574641938,84.0,56.17,91.82,6.8,6.71
ponta do sol,20.0,cv,1574641938,73.0,17.2,-25.09,73.4,13.87
okha,100.0,ru,1574641938,92.0,53.59,142.95,12.09,23.8
nanortalik,0.0,gl,1574641938,66.0,60.14,-45.24,36.54,2.89
ukiah,1.0,us,1574641938,36.0,39.15,-123.21,59.59,3.36
ewa beach,20.0,us,1574641938,48.0,21.32,-158.01,82.62,14.99
balao,75.0,ec,1574641939,78.0,-2.91,-79.82,77.0,6.93
tamandare,100.0,br,1574641939,98.0,-8.28,-70.75,73.62,1.9
tawala,20.0,ph,1574641939,83.0,9.55,123.77,82.4,6.93
vila franca do campo,75.0,pt,1574641939,88.0,37.72,-25.43,68.0,14.99
konya,31.0,tr,1574641939,100.0,37.87,32.48,33.8,3.36
arona,20.0,es,1574641940,63.0,28.1,-16.68,63.52,8.05
victoria,75.0,sc,1574641819,94.0,-4.62,55.45,77.0,12.75
taoudenni,0.0,ml,1574641940,35.0,22.68,-3.98,67.71,4.63
sarangani,84.0,ph,1574641940,75.0,5.4,125.46,82.33,7.02
mantua,0.0,cu,1574641940,64.0,22.29,-84.28,79.59,8.72
torbay,20.0,ca,1574641940,86.0,47.66,-52.73,34.57,12.75
mogok,0.0,mm,1574641940,82.0,22.92,96.51,59.45,2.84
arraial do cabo,38.0,br,1574641941,63.0,-22.97,-42.02,70.5,12.1
caravelas,100.0,br,1574641941,88.0,-17.73,-39.27,72.12,11.1
yulara,17.0,au,1574641941,9.0,-25.24,130.99,93.2,20.8
izhma,99.0,ru,1574641941,89.0,65.01,53.91,11.35,7.74
socorro,1.0,us,1574641941,41.0,31.65,-106.3,56.46,7.16
redlands,5.0,us,1574641941,14.0,34.06,-117.19,65.66,8.05
labuhan,83.0,id,1574641941,82.0,-2.54,115.51,79.41,1.83
partizanske,0.0,sk,1574641942,66.0,48.63,18.38,38.3,5.82
bubaque,1.0,gw,1574641942,75.0,11.28,-15.83,82.92,13.58
la ronge,20.0,ca,1574642009,79.0,55.1,-105.3,28.4,8.05
lumberton,1.0,us,1574642010,76.0,30.27,-94.2,52.03,6.93
yumen,95.0,cn,1574642010,32.0,40.29,97.04,15.15,8.19
fairbanks,90.0,us,1574641953,92.0,64.84,-147.72,17.82,1.12
san jose,47.0,gt,1574642010,78.0,16.98,-89.9,75.49,1.81
broome,75.0,au,1574642010,62.0,-17.97,122.23,89.6,2.24
itarema,4.0,br,1574642010,81.0,-2.92,-39.92,78.15,9.17
kalabo,82.0,zm,1574642010,88.0,-15.0,22.67,69.28,3.65
bonthe,85.0,sl,1574642010,78.0,7.53,-12.5,80.65,5.19
geraldton,0.0,au,1574642011,64.0,-28.77,114.6,71.6,11.41
tura,1.0,ru,1574642011,94.0,64.27,100.22,-25.46,3.15
pontal do parana,75.0,br,1574642011,87.0,-25.67,-48.51,63.52,5.82
lomonosov,13.0,ru,1574642011,78.0,59.91,29.78,16.41,4.47
freeport,90.0,us,1574641862,86.0,42.3,-89.62,41.32,7.23
chaozhou,55.0,cn,1574641900,88.0,23.66,116.62,68.0,2.24
shelburne,90.0,ca,1574642012,86.0,44.08,-80.2,38.17,2.24
port-gentil,40.0,ga,1574642012,88.0,-0.72,8.78,80.6,9.17
pochutla,20.0,mx,1574642012,74.0,15.74,-96.47,82.92,11.48
wysokie mazowieckie,0.0,pl,1574642012,90.0,52.92,22.51,28.99,11.05
paamiut,0.0,gl,1574642012,55.0,61.99,-49.67,32.43,9.35
inhambane,27.0,mz,1574642013,90.0,-23.87,35.38,77.2,8.32
georgetown,47.0,sh,1574642013,76.0,-7.93,-14.42,76.42,12.46
beringovskiy,99.0,ru,1574642013,94.0,63.05,179.32,12.51,6.67
brae,100.0,gb,1574642013,87.0,60.4,-1.35,48.2,20.8
makokou,0.0,ga,1574642013,91.0,0.56,12.85,69.89,0.92
san patricio,75.0,mx,1574642013,79.0,19.22,-104.7,86.0,3.13
praia da vitoria,75.0,pt,1574642014,94.0,38.73,-27.07,68.0,30.29
berdigestyakh,85.0,ru,1574642014,98.0,62.1,126.7,-21.24,1.66
anastacio,77.0,br,1574642014,64.0,-20.48,-55.81,81.0,3.91
klaksvik,100.0,fo,1574642014,87.0,62.23,-6.59,46.4,13.87
cayenne,20.0,gf,1574642014,88.0,4.94,-52.33,78.8,4.52
khorinsk,9.0,ru,1574642015,85.0,52.16,109.78,-4.18,3.0
koungou,93.0,yt,1574642015,88.0,-12.73,45.2,80.6,2.55
bad frankenhausen,90.0,de,1574642015,100.0,51.36,11.1,35.82,2.24
porto novo,20.0,cv,1574642015,73.0,17.02,-25.06,73.4,13.87
bethel,1.0,us,1574642004,79.0,60.79,-161.76,20.39,13.87
sabzevar,0.0,ir,1574642016,45.0,36.21,57.68,33.22,7.78
nalut,0.0,ly,1574642016,48.0,31.86,10.98,52.81,11.01
ekibastuz,82.0,kz,1574642016,90.0,51.72,75.32,8.94,7.23
portobelo,20.0,pa,1574642016,74.0,9.55,-79.65,80.55,6.93
port keats,23.0,au,1574642016,55.0,-14.25,129.55,89.73,8.01
mehamn,98.0,no,1574642016,82.0,71.03,27.85,32.52,13.0
surab,13.0,pk,1574642017,75.0,28.49,66.26,39.99,1.79
vostok,81.0,ru,1574642017,86.0,46.45,135.83,-1.25,6.31
severo-kurilsk,100.0,ru,1574642017,96.0,50.68,156.12,29.61,11.32
ancud,75.0,cl,1574642085,93.0,-41.87,-73.83,48.2,8.05
riwaka,15.0,nz,1574641990,62.0,-41.08,173.0,63.23,7.78
pontes e lacerda,100.0,br,1574642085,71.0,-15.23,-59.33,79.27,2.62
awjilah,58.0,ly,1574642085,20.0,29.14,21.3,67.51,9.51
havelock,1.0,us,1574642085,70.0,34.88,-76.9,45.54,5.82
arlit,78.0,ne,1574642085,17.0,18.74,7.39,79.88,6.87
ndioum,0.0,sn,1574642085,41.0,16.51,-14.65,77.0,2.24
balezino,100.0,ru,1574642086,82.0,57.97,53.01,13.01,5.06
atar,49.0,mr,1574642086,44.0,20.52,-13.05,69.57,8.3
mnogovershinnyy,91.0,ru,1574642086,90.0,53.94,139.92,0.79,22.35
port macquarie,98.0,au,1574642086,47.0,-31.43,152.91,79.72,9.17
sangar,98.0,ru,1574642086,97.0,63.92,127.47,-22.74,2.82
mackay,40.0,au,1574641854,51.0,-21.15,149.2,79.92,13.87
sobolevo,98.0,ru,1574642086,66.0,54.43,31.9,22.32,9.06
belmonte,0.0,br,1574642087,88.0,-26.84,-53.58,76.06,2.84
santa maria,20.0,cv,1574642087,88.0,16.6,-22.9,71.6,6.93
kruisfontein,26.0,za,1574642087,92.0,-34.0,24.73,54.27,4.63
ostrovnoy,92.0,ru,1574642087,95.0,68.05,39.51,24.17,13.51
iqaluit,90.0,ca,1574642087,100.0,63.75,-68.52,26.29,10.29
haines junction,76.0,ca,1574642087,97.0,60.75,-137.51,13.68,5.08
san cristobal,70.0,ec,1574642087,76.0,-1.02,-79.44,79.47,2.82
ahipara,43.0,nz,1574642087,81.0,-35.17,173.16,61.5,22.41
bozoum,1.0,cf,1574642088,53.0,6.31,16.38,70.34,0.38
trincomalee,100.0,lk,1574642088,95.0,8.58,81.23,73.71,1.14
eregli,2.0,tr,1574642088,49.0,37.51,34.05,40.66,1.72
novyy urengoy,100.0,ru,1574642088,92.0,66.08,76.63,0.91,18.54
bontang,51.0,id,1574642088,79.0,0.12,117.47,81.01,5.93
lahaina,40.0,us,1574642088,54.0,20.87,-156.68,79.48,16.11
canavieiras,97.0,br,1574642089,95.0,-15.68,-38.95,74.89,8.95
lai,27.0,td,1574642089,23.0,9.4,16.3,73.65,3.83
destin,1.0,us,1574642089,66.0,30.39,-86.5,50.65,6.82
cervo,95.0,es,1574642089,1.0,43.67,-7.41,57.6,5.01
soyo,18.0,ao,1574642090,88.0,-6.13,12.37,75.99,4.36
scarborough,20.0,tt,1574642090,83.0,11.18,-60.73,78.8,4.7
wanaka,0.0,nz,1574642090,36.0,-44.7,169.14,62.11,0.36
vestmanna,100.0,fo,1574642090,87.0,62.16,-7.17,46.4,13.87
aden,41.0,ye,1574642030,73.0,12.79,45.03,77.67,10.92
lebu,48.0,cl,1574642091,96.0,-37.62,-73.65,51.58,3.58
padang,100.0,id,1574642029,95.0,-0.92,100.36,68.63,4.61
barcelos,59.0,br,1574642091,92.0,-0.97,-62.93,76.46,2.33
high prairie,92.0,ca,1574642091,80.0,55.43,-116.48,30.72,12.15
dubbo,84.0,au,1574642091,39.0,-32.25,148.6,84.2,23.04
davila,20.0,ph,1574642092,69.0,18.47,120.58,82.4,12.75
mizan teferi,100.0,et,1574642092,98.0,6.99,35.58,60.57,2.06
necochea,100.0,ar,1574642159,78.0,-38.55,-58.74,60.01,10.0
vila velha,40.0,br,1574642159,78.0,-3.71,-38.6,82.54,8.05
huarmey,97.0,pe,1574642159,77.0,-10.07,-78.15,65.66,4.99
bandundu,5.0,cd,1574642160,92.0,-3.32,17.38,69.96,3.44
taltal,19.0,cl,1574642160,87.0,-25.41,-70.49,57.02,4.0
marquette,5.0,us,1574641955,69.0,46.54,-87.4,33.28,6.93
letterkenny,100.0,ie,1574642160,96.0,54.95,-7.73,45.68,7.38
cherepanovo,55.0,ru,1574642160,99.0,54.23,83.37,-1.84,4.16
shajapur,66.0,in,1574642160,58.0,23.42,76.29,65.55,3.38
faanui,100.0,pf,1574642160,79.0,-16.48,-151.75,81.57,13.29
semey,12.0,kz,1574642161,88.0,50.41,80.25,6.42,5.97
constitucion,20.0,mx,1574642161,9.0,23.99,-104.67,73.4,5.82
urucara,40.0,br,1574642161,59.0,-2.54,-57.76,81.37,2.82
dakar,0.0,sn,1574642143,88.0,14.69,-17.45,74.37,9.17
jalu,58.0,ly,1574642162,20.0,29.03,21.55,67.51,9.51
ubinskoye,97.0,ru,1574642162,96.0,55.31,79.68,0.54,4.36
kasongo-lunda,95.0,cd,1574642162,91.0,-6.48,16.82,66.67,1.61
wagar,94.0,sd,1574642162,74.0,16.15,36.2,73.08,10.36
mujiayingzi,0.0,cn,1574642162,27.0,42.12,118.78,13.48,4.81
mount isa,0.0,au,1574642162,8.0,-20.73,139.49,95.0,13.87
abu kamal,33.0,sy,1574642163,40.0,34.45,40.92,52.54,1.66
micheweni,81.0,tz,1574642163,76.0,-4.97,39.83,81.55,8.16
tarauaca,25.0,br,1574642163,98.0,-8.16,-70.77,73.29,0.72
cockburn town,26.0,tc,1574642163,64.0,21.46,-71.14,80.85,8.32
koumac,45.0,nc,1574642163,44.0,-20.56,164.28,81.46,8.99
markova,66.0,ru,1574642163,91.0,52.21,104.21,-2.2,4.47
semirom,0.0,ir,1574642164,50.0,31.41,51.57,22.35,1.79
namie,20.0,jp,1574642164,72.0,37.52,140.86,63.01,5.82
harper,54.0,lr,1574642164,94.0,4.38,-7.71,75.47,1.01
tiebissou,40.0,ci,1574642164,100.0,7.16,-5.23,75.9,4.7
araouane,0.0,ml,1574642164,22.0,18.9,-3.53,70.54,6.42
ducheng,100.0,cn,1574642164,67.0,30.54,114.9,42.17,13.73
general macarthur,100.0,ph,1574642165,77.0,11.25,125.54,83.44,14.58
tartagal,40.0,ar,1574642165,45.0,-22.52,-63.8,82.4,5.82
balad,68.0,iq,1574642165,24.0,34.02,44.15,57.61,7.25
carupano,82.0,ve,1574642165,98.0,10.67,-63.26,73.44,1.45
ken caryl,1.0,us,1574642048,18.0,39.58,-105.11,43.34,10.29
dargaville,53.0,nz,1574642165,55.0,-35.94,173.86,67.62,9.33
nemuro,75.0,jp,1574642166,86.0,43.32,145.57,37.4,4.7
carauari,99.0,br,1574642159,89.0,-4.88,-66.9,76.05,1.59
souillac,20.0,mu,1574642166,100.0,-20.52,57.52,73.0,4.7
chegdomyn,16.0,ru,1574642166,93.0,51.13,133.04,-15.14,1.3
luanda,75.0,ao,1574642166,74.0,-8.83,13.24,78.8,9.17
kartaly,84.0,ru,1574642166,90.0,53.05,60.64,10.33,8.9
nhulunbuy,20.0,au,1574642233,58.0,-12.18,136.78,87.8,8.05
letka,100.0,ru,1574642234,75.0,59.6,49.42,18.14,4.54
port hedland,4.0,au,1574642234,70.0,-20.31,118.58,87.8,13.87
cabedelo,20.0,br,1574642234,83.0,-6.97,-34.84,78.8,6.93
alakurtti,97.0,ru,1574642234,94.0,66.96,30.34,28.0,1.99
seabra,93.0,br,1574642234,71.0,-12.42,-41.77,71.29,1.34
salalah,20.0,om,1574642234,73.0,17.01,54.1,77.0,4.7
batemans bay,38.0,au,1574642234,69.0,-35.71,150.18,80.06,4.0
morgan city,1.0,us,1574642234,76.0,29.7,-91.21,51.53,5.82
rafai,60.0,cf,1574642235,77.0,4.95,23.92,69.57,1.48
mandalgovi,74.0,mn,1574642235,26.0,45.76,106.27,9.05,12.03
wattegama,42.0,lk,1574642235,96.0,7.35,80.68,70.03,2.28
guiratinga,100.0,br,1574642235,66.0,-16.35,-53.76,78.89,1.79
